amino_acid;acronym;type;linearity_bottom;linearity_top;reference_range_bottom_dewasa;reference_range_up_dewasa;result_low;result_high;result_optimal;reference_range_bottom_anak_1;reference_range_up_anak_1;reference_range_bottom_anak_2;reference_range_up_anak_2;reference_range_bottom_anak_3;reference_range_up_anak_3
Threonine;THR;essential;3.9;1000;60;225;"Your threonine level seems low. If it is followed by low glycine or serine, low threonine is a sign of hypoglycemia. In women, it can also happen during menstruation. Add more high protein diet tu ensure you can obtain essential amino acids adequacy.";Your threonine level seems high. Excessive high protein diet or poor metabolism due to zinc (Zn) and vitamin B6 deficiency induce high threonine. Supplementing with zinc (Zn) and vitamin B6 can help you overcome elevated threonine levels.;"Your Threonine level looks optimal, keep going with balance protein intake. Multi vitamin and mineral supplementation should be beneficial for your health.";50;400;50;300;60;200
Histidine;HIS;essential;15.6;1000;72;124;Your Histidine level seems low. Low levels of histidine can be caused by malabsorption or inadequate dietary protein intake. This condition linked to rheumatoid arthritis and anemia caused by a folate shortage. Folate supplementation shoud be beneficial to correct your Histidine level.;Your Histidine level seems high. A high level of histidine may suggest that  you consumes too much protein.;"Your Histidine level looks optimal, keep going with balance protein intake. Always monitor another amino acids level to maintain protein adequacy.";30;138;50;110;50;110
Lysine;LYS;essential;15.6;1000;116;296;"Your lysine level seems low. Low levels of lysine can be brought on by either an inadequate food intake or an excessive amount of arginine. As a result, the collagen synthesis process is disrupted and lowering the amount that can lead joint pain, wrinkles, slow injury and muscle recovery. Supplementing with carnitine could be beneficial in cases when excessive levels of triglycerides are also present. In women, this condition also manifested during the second half of the menstrual cycle.";"Your lysisne level seems high. A defective lysine metabolism is the root cause of high lysine levels. A supplementation consisting of vitamin C, vitamin B6, and iron would be helpful in enhancing the catabolism of lysine.";"Your Lysine level looks optimal, keep going with balance protein intake. Always check your triglyceride level to make sure your health. Vitamin and mineral supplementation should be beneficial to maintain Lysine metabolism  in your body.";60;300;60;280;80;250
Arginine;ARG;essential;7.8;1000;15;128;"Your arginine level seems low. A low quality dietary protein leads to poor arginine absorption, hence low arginine levels. Insufficiencies in arginine can have negative consequences on the cardiovascular and metabolic systems. Always monitor the other cardiovascular risk factor such as family history and lipid profile.";"Your arginine level seems high. A high level of arginine caused by dysfunction of the urea cycle, particularly the arginase enzyme. Because manganese (Mn) stimulates the activity of that enzyme, taking manganese (Mn)  supplements can result in an increase in the rate at which arginine is metabolized thus level of Arginine is expected to become optimal. ";"Your Arginine level looks optimal, keep going with balance protein intake. Arginine adequacy have a good concequency for your cardiovascular health. Mineral supplementation should be beneficial to maintain your Arginine level and urea metabolism.";15;160;20;160;40;160
Methionine;MET;essential;7.8;1000;10;42;"Your methionine level seems low. Methionine deficiency caused by low protein quality diet. Low methionine can lowering your endogenous antioxidant activity which can cause oxidative stress. Increase the amount of methionine in your diet or take a supplement. Foods with particularly high methionine content including eggs, chicken, and cod. ";"Your methionine level seems high. An elevated level of methionine can be brought on by an inadequate metabolism or an excessive consumption of protein rich in methionine. Liver disease is condition that's associated with high methionine levels since its metabolism occurs in liver. Increase methionine usage by supplementing the diet with the required cofactors, such as magnesium (Mg) and vitamin B6. ";"Your Methionine level seems optimal, keep going with balance protein intake. Multi Vitamin and mineral supplementation should be beneficial to maintain your health.";10;60;10;60;14;50
Valine;VAL;essential;15.6;1000;119;336;"Your valine level seems low. Low level of  valine or any of the other branched chain amino acids (BCAAs) caused muscle loss that can lead to lowering your stamina, dificulty to performing daily activities, and decrease in muscle size. Prolonged and intense exercise can also lowering valine level. Increase dietary protein intake and supplementation with branched-chain amino acids (BCAAs) might help.";"Your valine level seems high. Valine excess caused by inadequate intake of vitamin B6.  High level of valine associated with obesity, type 2 diabetes,  hepatic disease, hyperinsulinemia, and ketosis . Always check your BMI, waist circumference, and the other diabetes mellitus risk factors.";"Your Valine level seems optimal, keep going with balance protein intake. Multi vitamin and mineral supplementation should be beneficial.";83;300;80;300;100;300
Isoleucine;ILE;essential;15.6;1000;30;108;"Your isoleucine level seems low. Low level of  isoleucine or any of the other branched chain amino acids (BCAAs) caused muscle loss that can lead to lowering your stamina, dificulty to performing daily activities, and decrease in muscle size. Prolonged and intense exercise can also lowering isoleucine level. Increase dietary protein intake and supplementation with branched-chain amino acids (BCAAs) might help.";"Your isoleucine level seems high. Isoleucine excess caused by inadequate intake of vitamin B6.  High level of isoleucine associated with obesity, type 2 diabetes,  hepatic disease, hyperinsulinemia, and ketosis . Always check your BMI, waist circumference, and the other diabetes mellitus risk factors.";"Your Isoleucine level seems optimal, keep going with balance protein intake. Multi vitamin and mineral supplementation should be beneficial.";20;130;20;130;20;130
Leucine;LEU;essential;15.6;1000;72;201;"Your leucine level seems low. Low level of  isoleucine or any of the other branched chain amino acids (BCAAs) caused muscle loss that can lead to lowering your stamina, dificulty to performing daily activities, and decrease in muscle size. Prolonged and intense exercise can also lowering isoleucine level. Increase dietary protein intake and supplementation with branched-chain amino acids (BCAAs) might help.";"Your leucine level seems high. Leucine excess caused by inadequate intake of vitamin B6.  High level of leucine associated with obesity, type 2 diabetes,  hepatic disease, hyperinsulinemia, and ketosis . Always check your BMI, waist circumference, and the other diabetes mellitus risk factors.";"Your Leucine level seems optimal, keep going with balance protein intake. Vitamin and mineral supplementation should be beneficial.";50;200;50;200;60;230
Phenylalanine;PHE;essential;15.6;1000;35;85;"Your phenylalanine level seems low. A low level in phenylalanine can impair thyroid function and deficits in catecholamines, which can leads to depression, cognitive difficulties, memory loss, fatigue, and autonomic dysfunction. Reduce the amount of stress in your lifestyle and take phenylalanine supplements and also high quality protein in your food.";"Your phenylalanine level seems high. High levels of phenylalaninecaused by excessive intake of protein or conversion impair of phenylalanine into tyrosine. To improve this condition, you will need iron (Fe), vitamin C, and niacin. High level of phenylalanine level associated with obesity and hepatic disease, infections, and renal failure.  ";"Your Phenylalanine seems optimal, keep going with balance protein intake. Multi vitamin and mineral supplementation should be beneficial.";30;100;52;116;55;100
Tryptophan;TRP;essential;3.9;1000;23.5;93;"Your tryptophan level seems low. Low levels of tryptophan are frequently associated with mental health conditions such as depression, sleeplessness, and schizophrenia. It's possible that using 5-Hydroxytryptophan (5-HTP) supplements to improve this condition. Tryptophan also can obtained from food, thus you can take high quality protein intake.";Your tryptophan level seems high. A high tryptophan level may indicate the decrease of its metabolism. Niacin and vitamin B6 are two essential nutrients that can improve tryptophan metabolism. ;"Your Tryptophan level seems optimal, keep going with balance protein intake. Multi vitamin and mineral supplementation should be beneficial.";5;50;20;42;20;42
Aspartic Acid;ASP;non-essential;0;1000;1;25;Your aspartic acid level seems low. Ammonia detoxification in the urea cycle is inhibited when aspartic acid levels are low. It also may indicate that cellular energy production has slowed down that will impact your stamina.  Vitamin B6 and beta-ketoglutarate may improve this condition.;Your aspartic acid level seems high. A high aspartic acid level is associated with epilepsy and stroke. The effect of elevated this amino acid may be mitigated by taking magnesium (Mg) and zinc (Zn) supplements.;"Your Aspartic Acid level seems optimal, keep going with balance protein intake. Multi vitamin and mineral supplementation should be beneficial.";90;300;90;300;60;200
